id,code_id,field_id,label_en,label_fr,field_id__search_id,field_id__field_id
140,halpa-aphal,22,Halifax Port Authority,Administration portuaire de Halifax,travelq,owner_org
141,hampa-apham,22,Hamilton Port Authority,Administration portuaire de Hamilton,travelq,owner_org
142,hc-sc,22,Health Canada,Santé Canada,travelq,owner_org
143,hmirc-ccrmd,22,Hazardous Materials Information Review Commission Canada,Conseil de contrôle des renseignements relatifs aux matières dangereuses Canada,travelq,owner_org
144,hoc-cdc,22,House of Commons,Chambre des communes,travelq,owner_org
145,hrtc-tdpc,22,Human Rights Tribunal of Canada,Tribunal des droits de la personne du Canada,travelq,owner_org
146,hsmbc-clmhc,22,Historic Sites and Monuments Board of Canada,Commission des lieux et monuments historiques du Canada,travelq,owner_org
147,iaac-aeic,22,Impact Assessment Agency of Canada,Agence d'évaluation d'impact du Canada,travelq,owner_org
148,ic,22,"Innovation, Science and Economic Development Canada","Innovation, Sciences et Développement économique Canada",travelq,owner_org
149,idrc-crdi,22,International Development Research Centre,Centre de recherches pour le développement international,travelq,owner_org
150,ihgp,22,Infra H20 GP Partners Inc.,Infra H20 GP Partners Inc.,travelq,owner_org
151,ihlp,22,Infra H20 LP Partners Inc.,Infra H20 LP Partners Inc.,travelq,owner_org
152,iinfra,22,Indo-Infra Inc.,Indo-Infra Inc.,travelq,owner_org
153,ijc-cmi,22,International Joint Commission,Commission mixte internationale,travelq,owner_org
154,infc,22,Infrastructure Canada,Infrastructure Canada,travelq,owner_org
155,innovation,22,Canada Foundation for Innovation,Fondation canadienne pour l’innovation,travelq,owner_org
156,ipcan,22,Infra-PSP Canada Inc.,Infra-PSP Canada Inc.,travelq,owner_org
157,ipcred,22,Infra-PSP Credit Inc.,Infra-PSP Credit Inc.,travelq,owner_org
158,ipe,22,Infra-PSP ECEF Inc.,Infra-PSP ECEF Inc.,travelq,owner_org
159,ipi,22,Ivory Private Investments Inc.,Ivory Private Investments Inc.,travelq,owner_org
160,ipp,22,Infra-PSP Partners Inc.,Infra-PSP Partners Inc.,travelq,owner_org
161,irb-cisr,22,Immigration and Refugee Board of Canada,Commission de l'immigration et du statut de réfugié du Canada,travelq,owner_org
162,irstrc-cvrrpi,22,Indian Residential Schools Truth and Reconciliation Commission,Commission de vérité et de réconciliation relative aux pensionnats indiens,travelq,owner_org
163,isc-sac,22,Indigenous Services Canada,Services aux Autochtones Canada,travelq,owner_org
164,iti,22,Infra TM Investments Inc.,Infra TM Investments Inc.,travelq,owner_org
165,jccbi-pjcci,22,Jacques Cartier and Champlain Bridges Incorporated,Ponts Jacques Cartier et Champlain Incorporée,travelq,owner_org
166,jus,22,Department of Justice Canada,Ministère de la Justice Canada,travelq,owner_org
167,kipi,22,Kings Island Private Investments Inc.,Kings Island Private Investments Inc.,travelq,owner_org
168,lac-bac,22,Library and Archives Canada,Bibliothèque et Archives Canada,travelq,owner_org
169,lpa-apl,22,Laurentian Pilotage Authority Canada,Administration de pilotage des Laurentides Canada,travelq,owner_org
170,lp-bp,22,Library of Parliament,Bibliothèque du Parlement,travelq,owner_org
171,mai,22,Marine Atlantic Inc.,Marine Atlantique S.C.C.,travelq,owner_org
172,mdi-mid,22,Office of the Minister of Democratic Institutions,Cabinet du Ministre des Institutions démocratiques,travelq,owner_org
173,mgerc-ceegm,22,Military Grievances External Review Committee,Comité externe d’examen des griefs militaires,travelq,owner_org
174,miga-maig,22,Office of the Minister of Intergovernmental and Northern Affairs and Internal Trade,Cabinet du Ministre des Affaires intergouvernementales et du Nord et du Commerce intérieur,travelq,owner_org
175,mint-monnaie,22,Royal Canadian Mint,Monnaie royale canadienne,travelq,owner_org
176,mlvwb-otevm,22,Mackenzie Valley Land and Water Board,Office des terres et des eaux de la vallée du Mackenzie Valley,travelq,owner_org
177,mmiwg-ffada,22,National Inquiry into Missing and Murdered Indigenous Women and Girls,Enquête nationale sur les femmes et les filles autochtones disparues et assassinées,travelq,owner_org
178,mpa-apm,22,Montreal Port Authority,Administration portuaire de Montréal,travelq,owner_org
179,mpcc-cppm,22,Military Police Complaints Commission of Canada,Commission d'examen des plaintes concernant la police militaire du Canada,travelq,owner_org
180,mveirb-oervm,22,Mackenzie Valley Environmental Impact Review Board,Office d’examen des répercussions environnementales de la vallée du Mackenzie,travelq,owner_org
181,nac-cna,22,National Arts Centre,Centre national des Arts,travelq,owner_org
182,nbc-ccbn,22,The National Battlefields Commission,Commission des champs de bataille nationaux,travelq,owner_org
183,ncc-ccn,22,National Capital Commission,Commission de la capitale nationale,travelq,owner_org
184,ndcfo-odnfc,22,National Defence and Canadian Forces Ombudsman,Ombudsman de la Défense nationale et des Forces canadiennes,travelq,owner_org
185,nfb-onf,22,National Film Board,Office national du film,travelq,owner_org
186,nfh,22,Northern Fjord Holdings Inc.,Northern Fjord Holdings Inc.,travelq,owner_org
187,ngc-mbac,22,National Gallery of Canada,Musée des beaux-arts du Canada,travelq,owner_org
188,nirb-cner,22,Nunavut Impact Review Board,La Commission du Nunavut chargée de l’examen des répercussions,travelq,owner_org
189,nl-tnl,22,Government of Newfoundland and Labrador,Gouvernment de Terre-Neuve-et-Labrador,travelq,owner_org
190,nnpa-apn,22,Nanaimo Port Authority,Administration portuaire de Nanaïmo,travelq,owner_org
191,npa-apn,22,Northern Pipeline Agency Canada,Administration du pipe-line du Nord Canada,travelq,owner_org
192,npc-can,22,Nunavut Planning Commission,Commission d’aménagement du Nunavut,travelq,owner_org
193,nrcan-rncan,22,Natural Resources Canada,Ressources naturelles Canada,travelq,owner_org
194,nrc-cnrc,22,National Research Council Canada,Conseil national de recherches Canada,travelq,owner_org
195,nrtee-trnee,22,National Round Table on the Environment and the Economy,Table ronde nationale sur l'environnement et l'économie,travelq,owner_org
196,nserc-crsng,22,Natural Sciences and Engineering Research Council of Canada,Conseil de recherches en sciences naturelles et en génie du Canada,travelq,owner_org
197,nsira-ossnr,22,National Security and Intelligence Review Agency,Office de surveillance des activités en matière de sécurité nationale et de renseignement,travelq,owner_org
198,ns-ne,22,Government of Nova Scotia,Gouvernment de la Nouvelle-Écosse,travelq,owner_org
199,nsrt-tdsn,22,Nunavut Surface Rights Tribunal,Le Tribunal des droits de surface du Nunavut,travelq,owner_org
200,nwb-oen,22,Nunavut Water Board,l’Office des Eaux du Nunavut,travelq,owner_org
201,oag-bvg,22,Office of the Auditor General of Canada,Bureau du vérificateur général du Canada,travelq,owner_org
202,oci-bec,22,The Correctional Investigator Canada,L'Enquêteur correctionnel Canada,travelq,owner_org
203,ocl-cal,22,Office of the Commissioner of Lobbying of Canada,Commissariat au lobbying du Canada,travelq,owner_org
204,ocol-clo,22,Office of the Commissioner of Official Languages,Commissariat aux langues officielles,travelq,owner_org
205,ocsa-bcsc,22,Office of the Chief Science Advisor of Canada,Bureau du conseiller scientifique en chef du Canada,travelq,owner_org
206,ocsec-bccst,22,Office of the Intelligence Commissioner,Bureau du commissaire au renseignement,travelq,owner_org
207,oic-ci,22,Office of the Information Commissioner of Canada,Commissariat à l'information du Canada,travelq,owner_org
208,on,22,Government of Ontario,gouvernement de lOntario,travelq,owner_org
209,opa-apd,22,Oshawa Port Authority,Administration portuaire d’Oshawa,travelq,owner_org
210,opc-cpvp,22,Office of the Privacy Commissioner of Canada,Commissariats à l’information et à la protection de la vie privée au Canada,travelq,owner_org
211,opmc-svpm,22,Old Port of Montreal Corporation Inc.,Société du Vieux-Port de Montréal Inc.,travelq,owner_org
212,org231,22,Law Commission of Canada,Commission du droit du Canada,travelq,owner_org
213,osfi-bsif,22,Office of the Superintendent of Financial Institutions Canada,Bureau du surintendant des institutions financières Canada,travelq,owner_org
214,osgg-bsgg,22,Office of the Secretary to the Governor General,Bureau du secrétaire du gouverneur général,travelq,owner_org
215,oto-boc,22,Office of the Taxpayers' Ombudsman,Bureau de l'ombudsman des contribuables,travelq,owner_org
216,ovo-bov,22,Office of the Veterans Ombudsman,Bureau de l'ombudsman des vétérans,travelq,owner_org
217,pab-cap,22,Pension Appeals Board,Commission d'appel des pensions,travelq,owner_org
218,pacpi,22,Port-aux-Choix Private Investments Inc.,Port-aux-Choix Private Investments Inc.,travelq,owner_org
219,pacs-scnp,22,Public Appointments Commission Secretariat,Secrétariat de la Commission des nominations publiques,travelq,owner_org
220,pande,22,PSPIB-Andes Inc.,PSPIB-Andes Inc.,travelq,owner_org
221,papa-appa,22,Port Alberni Port Authority,Administration portuaire de Port Alberni,travelq,owner_org
222,pb,22,Port of Belledune,Port de Belledune,travelq,owner_org
223,pbc-clcc,22,Parole Board of Canada,Commission des libérations conditionnelles du Canada,travelq,owner_org
224,pbgp,22,PSPIB Baltimore G.P. Inc.,PSPIB Baltimore G.P. Inc.,travelq,owner_org
225,pbi,22,PSPIB Bromont Investments Inc.,PSPIB Bromont Investments Inc.,travelq,owner_org
226,pc,22,Parks Canada,Parcs Canada,travelq,owner_org
227,pcap,22,PSP Capital Inc.,PSP Capital Inc.,travelq,owner_org
228,pccr,22,PSPIB-CCR Inc.,PSPIB-CCR Inc.,travelq,owner_org
229,pch,22,Canadian Heritage,Patrimoine canadien,travelq,owner_org
230,pco-bcp,22,Privy Council Office,Bureau du Conseil privé,travelq,owner_org
231,pcon,22,PSPIB-Condor Inc.,PSPIB-Condor Inc.,travelq,owner_org
232,pdev,22,PSPIB DevCol Inc.,PSPIB DevCol Inc.,travelq,owner_org
233,pdp,22,Parc Downsview Park Inc.,Parc Downsview Park Inc,travelq,owner_org
234,pds,22,PSPIB Deep South Inc.,PSPIB Deep South Inc.,travelq,owner_org
235,pei-ipe,22,Government of Prince Edward Island,gouvernement de lÎle-du-Prince-Édouard,travelq,owner_org
236,peld,22,PSPIB-Eldorado Inc.,PSPIB-Eldorado Inc.,travelq,owner_org
237,pemer,22,PSPIB Emerald Inc.,PSPIB Emerald Inc.,travelq,owner_org
238,petf-fpet,22,Pierre Elliott Trudeau Foundation,Fondation Pierre Elliott Trudeau,travelq,owner_org
239,pfinc,22,PSP Finco Inc.,PSP Finco Inc.,travelq,owner_org
240,pgp,22,PSPIB G.P. Inc.,PSPIB G.P. Inc.,travelq,owner_org
241,pgpf,22,PSPIB G.P. Finance Inc.,PSPIB G.P. Finance Inc.,travelq,owner_org
242,pgpp,22,PSPIB G.P. Partners Inc.,PSPIB G.P. Partners Inc.,travelq,owner_org
243,pgrc,22,PSPIB Golden Range Cattle Inc.,PSPIB Golden Range Cattle Inc.,travelq,owner_org
244,pgrci,22,PSPIB Golden Range Cattle II Inc.,PSPIB Golden Range Cattle II Inc.,travelq,owner_org
245,phac-aspc,22,Public Health Agency of Canada,Agence de la santé publique du Canada,travelq,owner_org
246,phfgi,22,PSP H2O FL GP INC.,PSP H2O FL GP INC.,travelq,owner_org
247,phold,22,Potton Holdings Inc.,Potton Holdings Inc.,travelq,owner_org
248,phomes,22,PSPIB Homes Inc.,PSPIB Homes Inc.,travelq,owner_org
249,picpc,22,PSP Investments Canada Inc./Investissements PSP Canada Inc.,PSP Investments Canada Inc./Investissements PSP Canada Inc.,travelq,owner_org
250,pirp,22,PSPIB IRP60 Inc.,PSPIB IRP60 Inc.,travelq,owner_org
251,plii,22,PSPIB LUNAR INVESTMENTS INC.,PSPIB LUNAR INVESTMENTS INC.,travelq,owner_org
252,plsf,22,PSPIB-LSF Inc.,PSPIB-LSF Inc.,travelq,owner_org
253,pmgi,22,PSPIB MEXICO GP INC.,PSPIB MEXICO GP INC.,travelq,owner_org
254,pmgp,22,PSPIB Michigan G.P. Inc.,PSPIB Michigan G.P. Inc.,travelq,owner_org
255,pmo-cpm,22,Office of the Prime Minister,Cabinet du premier ministre,travelq,owner_org
256,pmprb-cepmb,22,Patented Medicine Prices Review Board Canada,Conseil d'examen du prix des médicaments brevetés Canada,travelq,owner_org
257,pmsr,22,PSPIB-MSR Inc.,PSPIB-MSR Inc.,travelq,owner_org
258,pngp,22,PSPIB-Newbury G.P. Inc.,PSPIB-Newbury G.P. Inc.,travelq,owner_org
259,polar-polaire,22,Polar Knowledge Canada,Savoir polaire Canada,travelq,owner_org
260,porch,22,PSPIB Orchid Inc.,PSPIB Orchid Inc.,travelq,owner_org
261,ppa-app,22,Pacific Pilotage Authority Canada,Administration de pilotage du Pacifique Canada,travelq,owner_org
262,ppais,22,PSPIB Paisas Inc.,PSPIB Paisas Inc.,travelq,owner_org
263,ppci,22,PSP Public Credit I Inc.,PSP Public Credit I Inc.,travelq,owner_org
264,ppco,22,PSP Public Credit Opportunities Inc.,PSP Public Credit Opportunities Inc.,travelq,owner_org
265,ppi,22,PSPIB Pennsylvania Investments Inc.,PSPIB Pennsylvania Investments Inc.,travelq,owner_org
266,ppm,22,PSP Public Markets Inc.,PSP Public Markets Inc.,travelq,owner_org
267,ppp,22,PPP Canada Inc.,PPP Canada Inc.,travelq,owner_org
268,ppsc-sppc,22,Public Prosecution Service of Canada,Service des poursuites pénales du Canada,travelq,owner_org
269,pptc,22,Passport Canada,Passeport Canada,travelq,owner_org
270,pqcc-pcprc,22,Office of the President of the Queen’s Privy Council for Canada and Minister of Intergovernmental Affairs,Président du Conseil privé de la Reine pour le Canada et Ministre des Affaires intergouvernementales,travelq,owner_org
271,prf,22,PSPIB-RE Finance Inc.,PSPIB-RE Finance Inc.,travelq,owner_org
272,prfp,22,PSPIB-RE Finance Partners Inc.,PSPIB-RE Finance Partners Inc.,travelq,owner_org
273,prfpi,22,PSPIB-RE Finance Partners II Inc.,PSPIB-RE Finance Partners II Inc.,travelq,owner_org
274,pripii,22,PSPIB Realty International Inc. / PSPIB Immobilier International Inc.,PSPIB Realty International Inc. / PSPIB Immobilier International Inc.,travelq,owner_org
275,prmi,22,PSPIB-RE MANCHESTER INC.,PSPIB-RE MANCHESTER INC.,travelq,owner_org
276,prp,22,PSPIB-RE Partners Inc.,PSPIB-RE Partners Inc.,travelq,owner_org
277,prpa-appr,22,Prince Rupert Port Authority,L’Administration portuaire de Prince Rupert,travelq,owner_org
278,prpi,22,PSPIB-RE Partners II Inc.,PSPIB-RE Partners II Inc.,travelq,owner_org
279,pru,22,PSPIB-RE UK Inc.,PSPIB-RE UK Inc.,travelq,owner_org
280,psc-cfp,22,Public Service Commission of Canada,Commission de la fonction publique du Canada,travelq,owner_org
